Date,Close,
1941-09-01,169.42,
1941-10-01,160.52,
1941-11-01,152.01,
1941-12-01,141.20,
1942-01-01,142.10,
1942-02-01,136.78,
1942-03-01,127.73,
1942-04-01,121.66,
1942-05-01,121.55,
1942-06-01,127.68,
1942-07-01,131.62,
1942-08-01,130.07,
1942-09-01,131.43,
1942-10-01,139.43,
1942-11-01,140.83,
1942-12-01,140.74,
1943-01-01,149.16,
1943-02-01,158.03,
1943-03-01,160.80,
1943-04-01,164.26,
1943-05-01,169.75,
1943-06-01,172.74,
1943-07-01,177.33,
1943-08-01,169.54,
1943-09-01,172.16,
1943-10-01,170.58,
1943-11-01,162.68,
1943-12-01,164.83,
1944-01-01,170.15,
1944-02-01,169.00,
1944-03-01,173.74,
1944-04-01,169.75,
1944-05-01,172.74,
1944-06-01,179.85,
1944-07-01,183.50,
1944-08-01,180.81,
1944-09-01,177.85,
1944-10-01,182.22,
1944-11-01,180.95,
1944-12-01,183.87,
1945-01-01,189.34,
1945-02-01,195.66,
1945-03-01,195.52,
1945-04-01,200.43,
1945-05-01,206.85,
1945-06-01,208.29,
1945-07-01,204.01,
1945-08-01,204.70,
1945-09-01,218.64,
1945-10-01,227.75,
1945-11-01,235.20,
1945-12-01,237.89,
1946-01-01,247.36,
1946-02-01,249.42,
1946-03-01,239.32,
1946-04-01,253.37,
1946-05-01,252.54,
1946-06-01,248.23,
1946-07-01,227.75,
1946-08-01,218.92,
1946-09-01,184.80,
1946-10-01,177.17,
1946-11-01,172.30,
1946-12-01,175.81,
1947-01-01,176.74,
1947-02-01,183.60,
1947-03-01,172.95,
1947-04-01,166.56,
1947-05-01,163.59,
1947-06-01,168.53,
1947-07-01,177.47,
1947-08-01,171.66,
1947-09-01,163.59,
1947-10-01,167.82,
1947-11-01,165.15,
1947-12-01,160.47,
1948-01-01,156.33,
1948-02-01,149.90,
1948-03-01,152.68,
1948-04-01,161.66,
1948-05-01,168.82,
1948-06-01,174.37,
1948-07-01,168.13,
1948-08-01,162.55,
1948-09-01,160.71,
1948-10-01,165.77,
1948-11-01,157.85,
1948-12-01,157.47,
1949-01-01,159.89,
1949-02-01,155.04,
1949-03-01,156.51,
1949-04-01,155.65,
1949-05-01,155.15,
1949-06-01,146.03,
1949-07-01,155.59,
1949-08-01,160.50,
1949-09-01,161.92,
1949-10-01,167.51,
1949-11-01,169.11,
1949-12-01,175.10,
1950-01-01,179.46,
1950-02-01,182.96,
1950-03-01,183.67,
1950-04-01,188.86,
1950-05-01,194.39,
1950-06-01,196.72,
1950-07-01,180.17,
1950-08-01,189.48,
1950-09-01,195.36,
1950-10-01,201.80,
1950-11-01,200.58,
1950-12-01,197.37,
1951-01-01,208.62,
1951-02-01,213.87,
1951-03-01,209.46,
1951-04-01,212.26,
1951-05-01,211.54,
1951-06-01,207.87,
1951-07-01,211.54,
1951-08-01,220.80,
1951-09-01,224.76,
1951-10-01,222.75,
1951-11-01,214.92,
1951-12-01,220.70,
1952-01-01,228.06,
1952-02-01,225.61,
1952-03-01,226.18,
1952-04-01,224.66,
1952-05-01,224.57,
1952-06-01,229.85,
1952-07-01,234.68,
1952-08-01,235.61,
1952-09-01,231.87,
1952-10-01,227.00,
1952-11-01,234.21,
1952-12-01,243.66,
1953-01-01,245.89,
1953-02-01,243.80,
1953-03-01,244.11,
1953-04-01,232.08,
1953-05-01,232.43,
1953-06-01,223.27,
1953-07-01,226.44,
1953-08-01,226.52,
1953-09-01,216.12,
1953-10-01,221.80,
1953-11-01,227.55,
1953-12-01,230.61,
1954-01-01,236.46,
1954-02-01,241.66,
1954-03-01,246.77,
1954-04-01,257.57,
1954-05-01,266.83,
1954-06-01,268.97,
1954-07-01,279.83,
1954-08-01,285.41,
1954-09-01,293.18,
1954-10-01,299.99,
1954-11-01,311.74,
1954-12-01,327.22,
1955-01-01,333.11,
1955-02-01,344.25,
1955-03-01,341.54,
1955-04-01,353.33,
1955-05-01,351.83,
1955-06-01,372.23,
1955-07-01,397.97,
1955-08-01,395.54,
1955-09-01,411.81,
1955-10-01,391.10,
1955-11-01,417.48,
1955-12-01,422.95,
1956-01-01,411.58,
1956-02-01,414.19,
1956-03-01,442.71,
1956-04-01,446.27,
1956-05-01,430.64,
1956-06-01,425.00,
1956-07-01,444.78,
1956-08-01,443.76,
1956-09-01,427.09,
1956-10-01,420.09,
1956-11-01,415.73,
1956-12-01,420.38,
1957-01-01,411.23,
1957-02-01,392.07,
1957-03-01,395.69,
1957-04-01,403.41,
1957-05-01,417.40,
1957-06-01,422.76,
1957-07-01,428.25,
1957-08-01,404.68,
1957-09-01,388.26,
1957-10-01,364.07,
1957-11-01,354.96,
1957-12-01,354.78,
1958-01-01,359.20,
1958-02-01,360.43,
1958-03-01,365.30,
1958-04-01,366.02,
1958-05-01,377.78,
1958-06-01,386.86,
1958-07-01,396.12,
1958-08-01,412.36,
1958-09-01,423.25,
1958-10-01,440.45,
1958-11-01,452.29,
1958-12-01,462.41,
1959-01-01,479.17,
1959-02-01,473.48,
1959-03-01,485.49,
1959-04-01,491.92,
1959-05-01,499.33,
1959-06-01,493.32,
1959-07-01,511.14,
1959-08-01,508.23,
1959-09-01,486.45,
1959-10-01,484.37,
1959-11-01,486.33,
1959-12-01,501.88,
1960-01-01,494.81,
1960-02-01,474.01,
1960-03-01,467.55,
1960-04-01,471.98,
1960-05-01,467.66,
1960-06-01,483.30,
1960-07-01,471.31,
1960-08-01,476.97,
1960-09-01,462.62,
1960-10-01,450.46,
1960-11-01,465.05,
1960-12-01,476.20,
1961-01-01,500.68,
1961-02-01,521.22,
1961-03-01,537.57,
1961-04-01,551.90,
1961-05-01,557.52,
1961-06-01,550.14,
1961-07-01,544.97,
1961-08-01,566.43,
1961-09-01,560.13,
1961-10-01,566.29,
1961-11-01,591.94,
1961-12-01,597.44,
1962-01-01,575.20,
1962-02-01,582.84,
1962-03-01,583.42,
1962-04-01,562.96,
1962-05-01,521.10,
1962-06-01,460.21,
1962-07-01,469.74,
1962-08-01,482.52,
1962-09-01,476.66,
1962-10-01,461.62,
1962-11-01,493.43,
1962-12-01,514.79,
1963-01-01,534.68,
1963-02-01,541.75,
1963-03-01,537.92,
1963-04-01,563.24,
1963-05-01,574.54,
1963-06-01,572.42,
1963-07-01,562.09,
1963-08-01,577.63,
1963-09-01,592.85,
1963-10-01,592.39,
1963-11-01,589.06,
1963-12-01,599.69,
1964-01-01,618.12,
1964-02-01,625.72,
1964-03-01,637.12,
1964-04-01,646.34,
1964-05-01,652.64,
1964-06-01,646.67,
1964-07-01,668.53,
1964-08-01,660.86,
1964-09-01,670.06,
1964-10-01,681.63,
1964-11-01,684.16,
1964-12-01,672.31,
1965-01-01,689.61,
1965-02-01,694.65,
1965-03-01,693.07,
1965-04-01,699.94,
1965-05-01,710.36,
1965-06-01,672.34,
1965-07-01,671.31,
1965-08-01,683.81,
1965-09-01,706.65,
1965-10-01,720.27,
1965-11-01,726.26,
1965-12-01,720.67,
1966-01-01,733.17,
1966-02-01,723.66,
1966-03-01,691.76,
1966-04-01,708.51,
1966-05-01,671.23,
1966-06-01,663.61,
1966-07-01,659.87,
1966-08-01,616.18,
1966-09-01,594.49,
1966-10-01,585.71,
1966-11-01,615.02,
1966-12-01,617.60,
1967-01-01,641.30,
1967-02-01,663.39,
1967-03-01,676.98,
1967-04-01,686.56,
1967-05-01,696.76,
1967-06-01,685.96,
1967-07-01,695.72,
1967-08-01,704.69,
1967-09-01,712.40,
1967-10-01,709.18,
1967-11-01,684.90,
1967-12-01,702.34,
1968-01-01,696.32,
1968-02-01,662.94,
1968-03-01,648.92,
1968-04-01,694.82,
1968-05-01,708.74,
1968-06-01,723.59,
1968-07-01,718.01,
1968-08-01,700.32,
1968-09-01,721.04,
1968-10-01,734.64,
1968-11-01,743.86,
1968-12-01,749.51,
1969-01-01,715.82,
1969-02-01,708.33,
1969-03-01,687.22,
1969-04-01,697.20,
1969-05-01,717.93,
1969-06-01,676.74,
1969-07-01,642.99,
1969-08-01,635.93,
1969-09-01,636.44,
1969-10-01,639.79,
1969-11-01,640.98,
1969-12-01,603.78,
1970-01-01,596.90,
1970-02-01,573.04,
1970-03-01,579.79,
1970-04-01,557.75,
1970-05-01,492.29,
1970-06-01,486.73,
1970-07-01,485.07,
1970-08-01,499.16,
1970-09-01,526.31,
1970-10-01,534.99,
1970-11-01,531.72,
1970-12-01,565.27,
1971-01-01,586.86,
1971-02-01,608.06,
1971-03-01,622.09,
1971-04-01,641.72,
1971-05-01,629.86,
1971-06-01,613.64,
1971-07-01,607.71,
1971-08-01,595.44,
1971-09-01,608.67,
1971-10-01,594.29,
1971-11-01,566.74,
1971-12-01,602.83,
1972-01-01,627.93,
1972-02-01,636.38,
1972-03-01,649.93,
