Date,Close,Unnamed: 5,Unnamed: 6
2016-11-07,4959.49,,
2016-11-08,5014.78,,
2016-11-09,4922.0,,
2016-11-10,5034.15,,
2016-11-11,4842.17,,
2016-11-15,4587.16,,
2016-11-16,4639.65,,
2016-11-17,4651.9,,
2016-11-18,4666.85,,
2016-11-21,4527.71,,
2016-11-22,4629.29,,
2016-11-23,4711.02,,
2016-11-24,4698.56,,
2016-11-25,4789.19,,
2016-11-28,4819.4,,
2016-11-29,4823.92,,
2016-11-30,4876.25,,
2016-12-01,4791.32,,
2016-12-02,4733.4,,
2016-12-05,4789.93,,
2016-12-06,4811.35,,
2016-12-07,4812.91,,
2016-12-08,4917.46,,
2016-12-09,4912.2,,
2016-12-12,4827.53,,
2016-12-13,4819.18,,
2016-12-14,4791.59,,
2016-12-15,4776.2,,
2016-12-16,4754.24,,
2016-12-19,4702.86,,
2016-12-20,4656.79,,
2016-12-21,4645.42,,
2016-12-22,4552.76,,
2016-12-23,4571.92,,
2016-12-26,4485.8,,
2016-12-27,4576.22,,
2016-12-28,4570.15,,
2016-12-29,4653.72,,
2016-12-30,4699.71,,
2017-01-02,4753.86,,
2017-01-03,4786.67,,
2017-01-04,4773.22,,
2017-01-05,4902.1,,
2017-01-06,4892.64,,
2017-01-09,4891.69,,
2017-01-10,4949.54,,
2017-01-11,5055.37,,
2017-01-12,5099.58,,
2017-01-13,5078.18,,
2017-01-16,5123.53,,
2017-01-17,5109.56,,
2017-01-18,5173.82,,
2017-01-19,5202.51,,
2017-01-20,5119.88,,
2017-01-23,5198.64,,
2017-01-24,5270.42,,
2017-01-25,5378.6,,
2017-01-27,5377.53,,
2017-01-30,5384.72,,
2017-01-31,5325.13,,
2017-02-01,5452.49,,
2017-02-02,5442.7,,
2017-02-03,5411.46,,
2017-02-06,5462.87,,
2017-02-07,5433.51,,
2017-02-08,5466.01,,
2017-02-09,5449.07,,
2017-02-10,5441.79,,
2017-02-13,5485.86,,
2017-02-14,5416.14,,
2017-02-15,5337.85,,
2017-02-16,5417.54,,
2017-02-17,5432.15,,
2017-02-20,5491.2,,
2017-02-21,5511.49,,
2017-02-22,5484.09,,
2017-02-23,5494.83,,
2017-02-27,5445.03,,
2017-02-28,5452.77,,
2017-03-01,5460.9,,
2017-03-02,5401.79,,
2017-03-03,5410.89,,
2017-03-06,5441.34,,
2017-03-07,5417.57,,
2017-03-08,5396.25,,
2017-03-09,5388.25,,
2017-03-10,5369.21,,
2017-03-14,5467.24,,
2017-03-15,5482.92,,
2017-03-16,5587.27,,
2017-03-17,5561.15,,
2017-03-20,5563.04,,
2017-03-21,5559.55,,
2017-03-22,5517.11,,
2017-03-23,5587.47,,
2017-03-24,5581.97,,
2017-03-27,5533.1,,
2017-03-28,5575.75,,
2017-03-29,5571.53,,
2017-03-30,5582.24,,
2017-03-31,5626.58,,
2017-04-03,5631.7,,
2017-04-05,5699.24,,
2017-04-06,5722.14,,
2017-04-07,5716.17,,
2017-04-10,5794.07,,
2017-04-11,5812.39,,
2017-04-12,5819.14,,
2017-04-13,5808.08,,
2017-04-17,5785.52,,
2017-04-18,5744.09,,
2017-04-19,5781.08,,
2017-04-20,5795.02,,
2017-04-21,5791.88,,
2017-04-24,5860.85,,
2017-04-25,5946.65,,
2017-04-26,5940.73,,
2017-04-27,5944.91,,
2017-04-28,5976.37,,
2017-05-02,6024.89,,
2017-05-03,6006.21,,
2017-05-04,5987.87,,
2017-05-05,5884.82,,
2017-05-08,5884.07,,
2017-05-09,5907.59,,
2017-05-10,5950.81,,
2017-05-11,5965.26,,
2017-05-12,5928.67,,
2017-05-15,6054.2,,
2017-05-16,6051.06,,
2017-05-17,6053.61,,
2017-05-18,5915.37,,
2017-05-19,5868.2,,
2017-05-22,5772.85,,
2017-05-23,5749.8,,
2017-05-24,5701.62,,
2017-05-25,5791.82,,
2017-05-26,5923.83,,
2017-05-29,5873.0,,
2017-05-30,5912.01,,
2017-05-31,5909.14,,
2017-06-01,5880.6,,
2017-06-02,5891.4,,
2017-06-05,5905.73,,
2017-06-06,5876.58,,
2017-06-07,5891.75,,
2017-06-08,5893.31,,
2017-06-09,5958.16,,
2017-06-12,5953.54,,
2017-06-13,5932.52,,
2017-06-14,5902.39,,
2017-06-15,5857.12,,
2017-06-16,5871.14,,
2017-06-19,5903.33,,
2017-06-20,5908.24,,
2017-06-21,5863.4,,
2017-06-22,5812.9,,
2017-06-23,5730.75,,
2017-06-27,5693.24,,
2017-06-28,5738.74,,
2017-06-29,5760.51,,
